Date,Department,Region,Product,Revenue,Cost,Profit,Units_Sold,Employee_Count,Marketing_Spend,Customer_Satisfaction
2023-01-13 18:45:12.156078,IT,West,Product E,374.8,204.22,170.58,187,49,218.06,4.1
2023-01-14 03:31:03.931965,IT,North,Product B,971.89,553.19,418.7,419,77,97.48,2.9
2023-01-14 12:16:55.707853,Operations,South,Product B,602.96,296.79,306.17,40,43,140.1,4.1
2023-01-14 21:02:47.483741,HR,North,Product C,254.56,133.58,120.98,365,69,253.06,3.9
2023-01-15 05:48:39.259629,HR,East,Product A,660.0,301.6,358.4,327,73,408.2,4.2
2023-01-15 14:34:31.035517,Sales,South,Product A,673.38,384.63,288.75,163,60,238.21,3.5
2023-01-15 23:20:22.811405,Operations,North,Product D,649.59,440.32,209.27,460,13,126.62,2.7
2023-01-16 08:06:14.587293,Finance,West,Product C,244.26,154.24,90.02,373,74,170.63,3.5
2023-01-16 16:52:06.363181,Operations,West,Product D,793.12,347.17,445.95,64,32,202.53,4.0
2023-01-17 01:37:58.139069,Finance,North,Product C,230.68,131.64,99.04,165,49,172.05,4.4
2023-01-17 10:23:49.914957,Sales,West,Product E,209.57,135.0,74.57,53,30,272.24,3.1
2023-01-17 19:09:41.690845,Marketing,West,Product B,646.72,378.63,268.09,90,32,217.4,4.4
2023-01-18 03:55:33.466733,HR,West,Product E,462.41,248.35,214.06,175,44,272.63,3.4
2023-01-18 12:41:25.242621,Sales,South,Product C,278.86,172.24,106.62,39,19,174.84,4.0
2023-01-18 21:27:17.018509,HR,West,Product B,733.28,541.91,191.37,331,10,306.04,3.5
2023-01-19 06:13:08.794397,IT,West,Product A,727.45,315.14,412.31,145,31,186.68,3.9
2023-01-19 14:59:00.570285,Marketing,West,Product A,359.96,193.12,166.84,23,42,122.3,4.3
2023-01-19 23:44:52.346173,Marketing,South,Product D,906.41,491.56,414.85,366,72,374.19,3.1
2023-01-20 08:30:44.122061,Sales,North,Product C,214.27,128.98,85.29,492,79,54.0,3.4
2023-01-20 17:16:35.897948,Marketing,East,Product C,271.3,122.97,148.33,115,68,140.9,3.9
2023-01-21 02:02:27.673836,Finance,West,Product A,546.37,252.33,294.04,368,34,149.84,5.0
2023-01-21 10:48:19.449724,Marketing,North,Product E,519.83,259.85,259.98,327,7,400.66,3.3
2023-01-21 19:34:11.225612,HR,West,Product B,871.91,640.47,231.44,84,66,344.55,5.0
2023-01-22 04:20:03.001500,HR,South,Product E,614.11,403.43,210.68,456,16,319.51,5.0
2023-01-22 13:05:54.777388,HR,North,Product E,461.8,291.67,170.13,88,34,173.55,3.7
2023-01-22 21:51:46.553276,HR,South,Product A,499.32,342.5,156.82,203,42,394.09,3.6
2023-01-23 06:37:38.329164,Finance,West,Product A,476.76,211.99,264.77,494,64,229.47,3.4
2023-01-23 15:23:30.105052,Operations,West,Product A,551.85,386.72,165.13,372,42,278.18,3.8
2023-01-24 00:09:21.880940,IT,South,Product D,1136.6,691.27,445.33,105,19,214.38,3.0
2023-01-24 08:55:13.656828,Sales,East,Product E,409.94,212.09,197.85,49,22,196.04,3.8
2023-01-24 17:41:05.432716,HR,South,Product C,202.5,138.82,63.68,265,56,179.86,4.7
2023-01-25 02:26:57.208604,Marketing,West,Product B,1066.63,726.27,340.36,406,33,183.23,3.4
2023-01-25 11:12:48.984492,HR,South,Product D,864.46,601.66,262.8,116,64,248.68,3.7
2023-01-25 19:58:40.760380,Marketing,East,Product C,244.28,107.59,136.69,26,25,229.38,2.8
2023-01-26 04:44:32.536268,IT,South,Product E,590.25,436.36,153.89,24,21,197.48,4.0
2023-01-26 13:30:24.312156,IT,East,Product A,763.27,561.67,201.6,426,22,320.76,4.0
2023-01-26 22:16:16.088044,IT,East,Product E,552.46,290.1,262.36,281,61,20.0,3.8
2023-01-27 07:02:07.863931,Marketing,South,Product B,1010.28,427.41,582.87,22,41,240.79,3.7
2023-01-27 15:47:59.639819,HR,South,Product D,1203.62,551.82,651.8,256,64,257.42,3.6
2023-01-28 00:33:51.415707,IT,North,Product D,935.75,699.46,236.29,223,42,291.76,4.1
2023-01-28 09:19:43.191595,Finance,West,Product B,646.99,386.29,260.7,160,16,194.81,3.8
2023-01-28 18:05:34.967483,Marketing,East,Product C,251.76,132.13,119.63,301,79,216.63,4.0
2023-01-29 02:51:26.743371,Marketing,North,Product C,306.22,153.38,152.84,52,77,278.88,3.9
2023-01-29 11:37:18.519259,HR,South,Product D,740.61,362.86,377.75,443,5,319.29,4.5
2023-01-29 20:23:10.295147,Marketing,West,Product D,754.06,476.91,277.15,123,62,175.96,4.2
2023-01-30 05:09:02.071035,Marketing,North,Product A,611.03,334.1,276.93,339,7,221.36,3.9
2023-01-30 13:54:53.846923,IT,East,Product C,454.72,335.54,119.18,90,67,334.29,4.7
2023-01-30 22:40:45.622811,HR,North,Product B,757.17,484.09,273.08,359,25,30.08,4.1
2023-01-31 07:26:37.398699,IT,East,Product C,416.88,282.32,134.56,150,27,144.8,4.6
2023-01-31 16:12:29.174587,IT,South,Product A,371.51,186.67,184.84,39,13,317.27,4.2
2023-02-01 00:58:20.950475,HR,West,Product D,749.18,320.44,428.74,450,59,287.4,2.7
2023-02-01 09:44:12.726363,Sales,West,Product D,952.83,543.82,409.01,39,23,241.8,4.6
2023-02-01 18:30:04.502251,IT,West,Product A,700.37,357.26,343.11,464,66,164.11,3.9
2023-02-02 03:15:56.278139,Finance,South,Product B,954.7,449.41,505.29,275,43,129.45,3.8
2023-02-02 12:01:48.054027,Finance,East,Product D,699.76,513.22,186.54,108,31,152.7,4.0
2023-02-02 20:47:39.829914,Marketing,South,Product E,569.53,316.31,253.22,459,50,323.84,3.6
2023-02-03 05:33:31.605802,Finance,West,Product D,891.25,411.0,480.25,103,38,149.72,3.9
2023-02-03 14:19:23.381690,Marketing,South,Product E,578.22,271.49,306.73,220,37,208.11,3.4
2023-02-03 23:05:15.157578,Sales,South,Product A,395.74,197.18,198.56,304,54,139.7,4.6
2023-02-04 07:51:06.933466,HR,South,Product A,682.27,511.54,170.73,46,24,267.42,3.7
2023-02-04 16:36:58.709354,HR,East,Product D,1261.04,622.71,638.33,396,44,156.9,3.6
2023-02-05 01:22:50.485242,HR,North,Product C,275.16,141.73,133.43,98,62,192.19,3.2
2023-02-05 10:08:42.261130,Finance,North,Product E,420.53,265.26,155.27,427,35,65.33,4.0
2023-02-05 18:54:34.037018,Sales,South,Product B,564.01,283.63,280.38,264,42,70.93,3.9
2023-02-06 03:40:25.812906,Finance,North,Product D,709.5,337.39,372.11,223,49,200.61,4.0
2023-02-06 12:26:17.588794,Finance,North,Product B,522.34,237.94,284.4,431,45,93.99,3.2
2023-02-06 21:12:09.364682,Sales,South,Product D,909.29,463.23,446.06,23,13,368.41,2.8
2023-02-07 05:58:01.140570,Sales,South,Product C,318.3,139.12,179.18,201,13,35.08,4.2
2023-02-07 14:43:52.916458,Sales,West,Product C,315.95,128.44,187.51,304,67,135.99,4.7
2023-02-07 23:29:44.692346,Sales,North,Product C,302.84,206.42,96.42,191,26,201.34,3.2
2023-02-08 08:15:36.468234,HR,East,Product C,458.17,205.38,252.79,139,20,170.79,4.8
2023-02-08 17:01:28.244122,Operations,South,Product A,626.13,420.5,205.63,233,36,111.67,4.0
2023-02-09 01:47:20.020010,Operations,West,Product A,403.06,273.73,129.33,52,70,123.37,3.8
2023-02-09 10:33:11.795897,Sales,East,Product E,610.37,359.06,251.31,190,18,120.75,3.6
2023-02-09 19:19:03.571785,Operations,North,Product B,858.71,436.56,422.15,396,42,177.06,3.0
2023-02-10 04:04:55.347673,Operations,West,Product D,1178.57,531.25,647.32,178,12,356.15,4.4
2023-02-10 12:50:47.123561,Sales,South,Product D,1105.91,727.56,378.35,273,25,206.23,3.3
2023-02-10 21:36:38.899449,Operations,East,Product A,457.02,279.0,178.02,483,60,294.63,3.3
2023-02-11 06:22:30.675337,Finance,South,Product D,931.8,586.48,345.32,105,50,240.56,4.4
2023-02-11 15:08:22.451225,Marketing,North,Product A,410.05,165.26,244.79,212,47,289.11,2.7
2023-02-11 23:54:14.227113,Marketing,East,Product E,544.7,394.71,149.99,456,50,20.0,2.9
2023-02-12 08:40:06.003001,Sales,North,Product B,817.53,345.98,471.55,330,52,175.64,3.8
2023-02-12 17:25:57.778889,HR,North,Product E,330.08,174.41,155.67,344,74,304.57,4.0
2023-02-13 02:11:49.554777,Sales,West,Product C,282.99,153.08,129.91,397,35,154.26,4.1
2023-02-13 10:57:41.330665,HR,South,Product C,313.05,125.37,187.68,77,37,341.0,3.6
2023-02-13 19:43:33.106553,Marketing,East,Product C,390.3,224.02,166.28,101,48,318.71,5.0
2023-02-14 04:29:24.882441,Sales,North,Product E,424.88,281.9,142.98,275,75,162.47,3.7
2023-02-14 13:15:16.658329,IT,North,Product D,1278.28,879.64,398.64,340,12,159.75,3.7
2023-02-14 22:01:08.434217,Finance,East,Product B,997.22,705.82,291.4,187,77,118.91,3.3
2023-02-15 06:47:00.210105,Operations,North,Product C,278.45,158.91,119.54,160,6,149.63,3.9
2023-02-15 15:32:51.985992,HR,West,Product C,328.4,203.85,124.55,326,21,101.39,4.2
2023-02-16 00:18:43.761880,IT,West,Product C,522.34,223.47,298.87,56,56,234.3,4.5
2023-02-16 09:04:35.537768,Operations,West,Product B,1018.54,581.4,437.14,12,49,83.52,2.9
2023-02-16 17:50:27.313656,Operations,West,Product C,418.3,189.99,228.31,496,41,248.3,3.7
2023-02-17 02:36:19.089544,Sales,North,Product B,1074.82,568.98,505.84,112,46,250.25,4.1
2023-02-17 11:22:10.865432,Operations,East,Product C,370.91,191.11,179.8,282,48,67.1,4.2
2023-02-17 20:08:02.641320,Finance,East,Product E,450.44,246.95,203.49,31,42,323.99,3.8
2023-02-18 04:53:54.417208,IT,East,Product E,519.92,311.99,207.93,125,10,241.09,4.1
2023-02-18 13:39:46.193096,Operations,East,Product B,680.55,487.28,193.27,356,72,259.98,3.3
2023-02-18 22:25:37.968984,Sales,South,Product E,577.04,310.49,266.55,409,55,139.31,4.7
2023-02-19 07:11:29.744872,Finance,East,Product B,725.29,539.18,186.11,473,39,249.79,4.4
2023-02-19 15:57:21.520760,Marketing,South,Product E,293.72,195.52,98.2,113,62,290.11,3.0
2023-02-20 00:43:13.296648,IT,South,Product E,356.0,206.13,149.87,268,61,192.11,3.2
2023-02-20 09:29:05.072536,Operations,West,Product B,1010.17,631.77,378.4,317,77,360.15,3.2
2023-02-20 18:14:56.848424,Sales,South,Product D,1392.8,606.95,785.85,376,10,203.53,4.2
2023-02-21 03:00:48.624312,Marketing,North,Product E,390.73,271.78,118.95,426,17,291.26,3.0
2023-02-21 11:46:40.400200,Marketing,South,Product C,393.86,237.82,156.04,307,63,223.44,3.6
2023-02-21 20:32:32.176088,HR,West,Product D,802.06,597.63,204.43,139,34,246.84,4.1
2023-02-22 05:18:23.951975,Finance,South,Product B,839.4,522.74,316.66,304,6,66.29,3.8
2023-02-22 14:04:15.727863,Operations,North,Product D,701.46,485.37,216.09,311,62,229.68,4.0
2023-02-22 22:50:07.503751,Sales,North,Product A,430.38,292.62,137.76,57,40,141.2,3.2
2023-02-23 07:35:59.279639,HR,North,Product A,518.17,269.92,248.25,36,76,132.29,4.2
2023-02-23 16:21:51.055527,Finance,West,Product E,533.05,261.65,271.4,24,49,339.53,3.4
2023-02-24 01:07:42.831415,HR,West,Product E,403.74,222.33,181.41,272,13,182.9,3.6
2023-02-24 09:53:34.607303,IT,East,Product C,307.0,173.01,133.99,374,69,119.74,3.9
2023-02-24 18:39:26.383191,Finance,West,Product D,621.75,300.95,320.8,450,54,171.27,3.9
2023-02-25 03:25:18.159079,Finance,North,Product A,383.52,273.49,110.03,307,36,95.96,3.8
2023-02-25 12:11:09.934967,Operations,North,Product E,420.16,247.85,172.31,274,47,314.71,3.3
2023-02-25 20:57:01.710855,Finance,West,Product D,1025.45,761.35,264.1,370,58,144.35,3.6
2023-02-26 05:42:53.486743,HR,South,Product E,514.91,351.94,162.97,143,51,242.34,3.8
2023-02-26 14:28:45.262631,Finance,West,Product E,616.89,366.74,250.15,450,18,308.49,3.0
2023-02-26 23:14:37.038519,Operations,West,Product A,557.13,407.52,149.61,85,52,159.99,3.5
2023-02-27 08:00:28.814407,Operations,North,Product A,642.46,370.51,271.95,39,59,242.56,4.0
2023-02-27 16:46:20.590295,IT,East,Product E,487.09,346.07,141.02,448,33,117.59,3.0
2023-02-28 01:32:12.366183,HR,North,Product B,672.59,353.35,319.24,349,51,395.66,4.5
2023-02-28 10:18:04.142071,Marketing,East,Product E,438.67,233.6,205.07,135,67,274.91,4.6
2023-02-28 19:03:55.917958,Marketing,North,Product E,612.06,334.4,277.66,93,23,184.59,3.1
2023-03-01 03:49:47.693846,Finance,West,Product C,248.09,146.7,101.39,63,13,138.17,4.6
2023-03-01 12:35:39.469734,IT,North,Product C,342.27,203.21,139.06,375,41,190.88,3.7
2023-03-01 21:21:31.245622,Sales,North,Product C,364.63,209.2,155.43,292,56,172.8,4.1
2023-03-02 06:07:23.021510,Finance,North,Product B,859.97,436.09,423.88,349,61,356.24,3.5
2023-03-02 14:53:14.797398,IT,West,Product B,772.87,559.96,212.91,452,32,101.96,4.4
2023-03-02 23:39:06.573286,HR,West,Product E,512.99,310.87,202.12,272,40,210.78,4.0
2023-03-03 08:24:58.349174,HR,West,Product C,310.07,168.28,141.79,433,68,198.53,3.3
2023-03-03 17:10:50.125062,HR,West,Product B,613.21,385.04,228.17,369,22,190.61,3.1
2023-03-04 01:56:41.900950,HR,East,Product A,583.13,389.99,193.14,231,39,191.31,2.9
2023-03-04 10:42:33.676838,HR,East,Product E,467.13,343.93,123.2,337,72,190.71,3.9
2023-03-04 19:28:25.452726,IT,South,Product D,1158.3,665.84,492.46,11,43,269.85,4.1
2023-03-05 04:14:17.228614,IT,West,Product E,318.63,139.95,178.68,407,12,248.72,4.2
2023-03-05 13:00:09.004502,Operations,East,Product D,782.16,433.53,348.63,403,19,233.51,3.7
2023-03-05 21:46:00.780390,Marketing,North,Product C,262.68,149.11,113.57,315,11,20.0,3.1
2023-03-06 06:31:52.556278,HR,West,Product D,1181.76,843.72,338.04,155,21,223.98,3.4
2023-03-06 15:17:44.332166,Sales,South,Product C,137.98,74.26,63.72,27,68,67.55,4.5
2023-03-07 00:03:36.108054,IT,South,Product A,443.41,325.31,118.1,25,16,251.71,3.5
2023-03-07 08:49:27.883941,Sales,South,Product D,934.95,532.73,402.22,317,60,317.96,3.9
2023-03-07 17:35:19.659829,Sales,North,Product E,299.7,222.02,77.68,462,50,125.9,3.2
2023-03-08 02:21:11.435717,Sales,East,Product C,405.78,163.48,242.3,445,51,179.06,4.0
2023-03-08 11:07:03.211605,Operations,North,Product E,577.5,412.67,164.83,168,20,152.05,3.5
2023-03-08 19:52:54.987493,IT,West,Product B,1004.61,729.24,275.37,494,73,298.83,4.4
2023-03-09 04:38:46.763381,Sales,South,Product C,411.96,303.35,108.61,349,6,207.6,4.3
2023-03-09 13:24:38.539269,HR,North,Product D,566.75,229.29,337.46,416,58,338.27,3.5
2023-03-09 22:10:30.315157,Finance,North,Product C,201.36,92.64,108.72,361,31,233.1,3.7
2023-03-10 06:56:22.091045,Sales,East,Product E,570.96,359.03,211.93,307,35,219.4,3.5
2023-03-10 15:42:13.866933,Operations,East,Product A,486.85,199.08,287.77,218,45,205.46,2.9
2023-03-11 00:28:05.642821,IT,South,Product C,285.35,120.49,164.86,455,40,265.44,3.3
2023-03-11 09:13:57.418709,Operations,North,Product D,1024.37,489.01,535.36,214,51,60.99,3.9
2023-03-11 17:59:49.194597,Sales,North,Product B,1184.5,686.24,498.26,122,47,206.83,4.0
2023-03-12 02:45:40.970485,IT,East,Product A,404.99,239.38,165.61,187,69,194.4,3.9
2023-03-12 11:31:32.746373,Finance,North,Product B,987.71,406.93,580.78,470,54,258.03,3.6
2023-03-12 20:17:24.522261,Sales,North,Product C,264.22,121.44,142.78,218,5,184.98,4.4
2023-03-13 05:03:16.298149,Operations,North,Product E,501.52,288.32,213.2,133,76,116.9,3.8
2023-03-13 13:49:08.074037,Marketing,East,Product E,423.87,257.66,166.21,24,61,200.59,4.2
2023-03-13 22:34:59.849924,HR,South,Product D,1207.13,545.55,661.58,355,20,113.37,2.7
2023-03-14 07:20:51.625812,Operations,West,Product E,701.51,378.53,322.98,437,32,45.98,1.4
2023-03-14 16:06:43.401700,IT,South,Product A,659.47,472.54,186.93,485,26,258.17,4.0
2023-03-15 00:52:35.177588,Sales,West,Product E,382.73,286.9,95.83,307,45,246.32,2.9
2023-03-15 09:38:26.953476,HR,North,Product D,1136.36,847.18,289.18,54,23,237.37,3.7
2023-03-15 18:24:18.729364,Sales,South,Product C,269.78,191.16,78.62,103,54,304.23,3.6
2023-03-16 03:10:10.505252,IT,West,Product C,190.52,102.52,88.0,116,63,146.8,4.8
2023-03-16 11:56:02.281140,Sales,East,Product E,392.33,251.21,141.12,428,73,85.51,4.0
2023-03-16 20:41:54.057028,Marketing,East,Product B,685.23,374.0,311.23,287,38,194.4,3.9
2023-03-17 05:27:45.832916,HR,South,Product C,349.13,218.9,130.23,137,43,172.2,4.3
2023-03-17 14:13:37.608804,HR,South,Product E,673.8,342.49,331.31,467,78,132.62,4.0
2023-03-17 22:59:29.384692,IT,North,Product D,662.44,405.53,256.91,468,11,193.61,3.5
2023-03-18 07:45:21.160580,Marketing,South,Product E,686.28,400.32,285.96,47,56,151.07,4.4
2023-03-18 16:31:12.936468,Operations,North,Product C,173.26,70.79,102.47,106,64,53.12,3.1
2023-03-19 01:17:04.712356,Sales,North,Product D,664.84,449.93,214.91,207,56,164.71,4.0
2023-03-19 10:02:56.488244,Finance,East,Product E,557.51,225.33,332.18,201,28,109.09,2.9
2023-03-19 18:48:48.264132,Sales,East,Product A,327.63,164.67,162.96,366,30,218.53,3.9
2023-03-20 03:34:40.040020,Sales,West,Product D,852.86,342.91,509.95,16,14,147.52,3.9
2023-03-20 12:20:31.815907,Operations,East,Product A,673.45,358.05,315.4,53,21,288.93,4.8
2023-03-20 21:06:23.591795,Sales,East,Product B,829.46,350.12,479.34,341,6,328.31,2.9
2023-03-21 05:52:15.367683,Marketing,South,Product D,1170.23,842.25,327.98,16,31,254.35,3.4
2023-03-21 14:38:07.143571,Marketing,East,Product A,730.78,398.63,332.15,203,77,75.92,4.3
2023-03-21 23:23:58.919459,HR,West,Product C,449.29,251.97,197.32,325,75,320.42,4.0
2023-03-22 08:09:50.695347,IT,South,Product C,379.01,198.01,181.0,10,52,326.06,3.9
2023-03-22 16:55:42.471235,Finance,West,Product B,601.05,372.43,228.62,71,78,201.5,3.2
2023-03-23 01:41:34.247123,Sales,East,Product D,1260.45,850.23,410.22,352,13,305.83,3.4
2023-03-23 10:27:26.023011,Sales,West,Product D,851.86,533.99,317.87,98,27,155.87,4.5
2023-03-23 19:13:17.798899,Operations,South,Product D,978.23,647.46,330.77,27,75,50.7,3.8
2023-03-24 03:59:09.574787,IT,North,Product B,972.31,697.23,275.08,117,77,139.18,4.0
2023-03-24 12:45:01.350675,Marketing,West,Product D,1042.03,731.76,310.27,144,31,338.34,3.7
2023-03-24 21:30:53.126563,Finance,West,Product C,367.06,233.42,133.64,380,75,80.71,3.1
2023-03-25 06:16:44.902451,HR,South,Product A,683.0,324.51,358.49,319,47,199.96,4.4
2023-03-25 15:02:36.678339,Marketing,South,Product C,395.7,246.6,149.1,76,11,202.73,4.1
2023-03-25 23:48:28.454227,IT,West,Product C,152.91,88.25,64.66,102,67,158.96,5.0
2023-03-26 08:34:20.230115,HR,East,Product A,416.38,271.07,145.31,147,48,164.52,3.2
2023-03-26 17:20:12.006003,Operations,West,Product C,422.19,291.96,130.23,198,43,205.78,4.3
2023-03-27 02:06:03.781890,Operations,South,Product B,1098.58,725.01,373.57,68,44,155.03,3.0
2023-03-27 10:51:55.557778,Sales,North,Product A,527.11,367.02,160.09,196,11,86.24,3.9
2023-03-27 19:37:47.333666,IT,North,Product C,196.64,83.05,113.59,244,74,217.2,4.4
2023-03-28 04:23:39.109554,Finance,East,Product E,401.57,165.07,236.5,78,29,285.87,2.6
2023-03-28 13:09:30.885442,HR,West,Product C,359.33,176.24,183.09,456,63,269.57,3.7
2023-03-28 21:55:22.661330,Marketing,North,Product B,462.13,330.53,131.6,107,17,135.22,3.5
2023-03-29 06:41:14.437218,IT,West,Product D,1227.53,844.89,382.64,17,66,99.9,3.4
2023-03-29 15:27:06.213106,IT,South,Product C,312.02,199.37,112.65,471,12,177.26,4.0
2023-03-30 00:12:57.988994,Operations,North,Product D,653.61,421.75,231.86,497,49,325.42,4.5
2023-03-30 08:58:49.764882,Sales,East,Product E,503.06,329.17,173.89,320,22,251.65,3.7
2023-03-30 17:44:41.540770,Sales,South,Product C,211.55,154.41,57.14,143,64,256.32,3.9
2023-03-31 02:30:33.316658,HR,East,Product A,599.84,414.65,185.19,394,64,271.19,3.9
2023-03-31 11:16:25.092546,Operations,South,Product D,880.49,544.31,336.18,65,6,233.66,3.8
2023-03-31 20:02:16.868434,IT,North,Product E,626.15,396.35,229.8,490,70,209.65,3.1
2023-04-01 04:48:08.644322,Finance,East,Product A,467.57,222.01,245.56,369,18,252.98,4.5
2023-04-01 13:34:00.420210,Operations,East,Product A,402.15,253.38,148.77,468,52,156.31,4.0
2023-04-01 22:19:52.196098,HR,South,Product A,322.65,177.02,145.63,123,60,86.84,4.0
2023-04-02 07:05:43.971985,HR,East,Product A,317.9,144.18,173.72,97,16,257.84,3.3
2023-04-02 15:51:35.747873,Operations,South,Product C,309.0,210.81,98.19,147,59,299.02,3.5
2023-04-03 00:37:27.523761,HR,South,Product C,203.67,117.84,85.83,117,32,110.54,3.7
2023-04-03 09:23:19.299649,Operations,South,Product C,371.22,275.48,95.74,32,8,265.75,2.9
2023-04-03 18:09:11.075537,Marketing,South,Product E,273.4,136.31,137.09,153,40,334.46,2.8
2023-04-04 02:55:02.851425,Operations,North,Product E,581.62,330.5,251.12,366,54,199.82,3.4
2023-04-04 11:40:54.627313,Operations,South,Product E,529.3,294.71,234.59,153,7,134.56,4.1
2023-04-04 20:26:46.403201,HR,West,Product B,675.15,298.6,376.55,65,5,209.84,3.4
2023-04-05 05:12:38.179089,HR,East,Product E,413.7,227.18,186.52,117,21,155.96,3.2
2023-04-05 13:58:29.954977,Sales,West,Product C,379.6,190.04,189.56,360,75,150.66,3.3
2023-04-05 22:44:21.730865,Sales,North,Product C,402.93,183.78,219.15,15,66,234.65,3.5
2023-04-06 07:30:13.506753,Marketing,West,Product B,751.75,374.94,376.81,39,52,71.7,3.6
2023-04-06 16:16:05.282641,Sales,East,Product B,508.3,244.82,263.48,456,66,84.49,5.0
2023-04-07 01:01:57.058529,Operations,West,Product E,595.28,391.05,204.23,494,73,201.54,4.4
2023-04-07 09:47:48.834417,HR,North,Product D,1216.81,499.83,716.98,394,23,198.22,4.4
2023-04-07 18:33:40.610305,Sales,South,Product B,581.14,358.05,223.09,316,38,227.48,4.5
2023-04-08 03:19:32.386193,Sales,West,Product A,414.7,276.29,138.41,371,53,350.02,3.2
2023-04-08 12:05:24.162081,Marketing,North,Product C,491.24,279.15,212.09,354,51,208.36,3.1
2023-04-08 20:51:15.937968,IT,North,Product A,422.04,306.42,115.62,136,54,247.85,3.1
2023-04-09 05:37:07.713856,Marketing,East,Product C,244.44,158.34,86.1,311,30,121.96,4.6
2023-04-09 14:22:59.489744,Operations,East,Product C,393.25,260.24,133.01,130,60,261.44,3.5
2023-04-09 23:08:51.265632,HR,West,Product B,1005.32,471.42,533.9,414,18,157.89,3.0
2023-04-10 07:54:43.041520,Marketing,South,Product B,944.43,634.71,309.72,108,29,205.71,3.5
2023-04-10 16:40:34.817408,Sales,North,Product A,436.89,301.99,134.9,175,8,191.29,3.7
2023-04-11 01:26:26.593296,HR,West,Product C,343.66,180.92,162.74,334,36,282.64,4.0
2023-04-11 10:12:18.369184,HR,North,Product A,397.09,188.49,208.6,328,69,95.2,4.0
2023-04-11 18:58:10.145072,Sales,North,Product D,611.03,326.76,284.27,250,65,20.0,3.3
2023-04-12 03:44:01.920960,Marketing,South,Product A,424.48,279.67,144.81,59,24,182.93,4.2
